comparison,gene,axis_membership,n_pos,n_neg,median_dep_pos,median_dep_neg,delta,mw_auc,p,FDR_within_comparison
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,PLK1,mitotic_kinase_PLK_AUR,80,361,2.78705139746354,2.7895288359387864,-0.0024774384752461,0.4495152354570638,0.157610481812975,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,PLK4,mitotic_kinase_PLK_AUR,80,361,1.0589752908944656,1.05876990813676,0.0002053827577055,0.5108379501385041,0.7618960892195537,0.9901673242127602
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,PMAIP1,prior_p53_decision,80,360,-0.1032306316275548,-0.1217226404712964,0.0184920088437416,0.5455902777777778,0.2020347464503962,0.6476616163225754
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,PSMA1,HSP_proteostasis;prior_proteasome,80,361,2.270106662149665,2.323661247084132,-0.0535545849344667,0.4643698060941828,0.3186641870790605,0.8354169228829426
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,PSMA2,HSP_proteostasis;prior_proteasome,80,361,2.3202603106570905,2.347342661903016,-0.0270823512459252,0.4893351800554016,0.7655932919170827,0.9901673242127602
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,PSMB5,HSP_proteostasis;prior_proteasome,80,361,2.0258913305102397,2.0122347459428203,0.013656584567419,0.4955678670360111,0.9016156289718648,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,PSMB7,HSP_proteostasis;prior_proteasome,80,361,1.2195038993449687,1.2609348442504142,-0.0414309449054455,0.4606648199445984,0.2709179372176592,0.7960203608099156
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,PSMC1,HSP_proteostasis;prior_proteasome,80,361,0.9680326015273188,1.0214495690926566,-0.0534169675653377,0.4219529085872576,0.0288936369030124,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,PSMD1,HSP_proteostasis;prior_proteasome,80,361,1.2426804707318204,1.3026172444673358,-0.0599367737355154,0.4354570637119113,0.0707933330359655,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,PTEN,AKT_PI3K_survival;prior_oncogenic_context,80,361,-0.3172207236723193,-0.3578394722059693,0.0406187485336499,0.5289473684210526,0.4178948005666267,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,RAD51,DDR_CHK_ATR;prior_DDR_checkpoint,80,361,1.22139157107645,1.2313120895909369,-0.0099205185144868,0.4871883656509695,0.7201505919762716,0.9901673242127602
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,RB1,prior_cell_cycle_checkpoint,80,361,-0.1908372729384823,-0.1913943331709186,0.0005570602324363,0.513157894736842,0.7129080739625341,0.9901673242127602
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,RICTOR,AKT_PI3K_survival,80,361,0.4467653917148512,0.4151791988345891,0.0315861928802621,0.5686980609418282,0.0544612481653263,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,RPTOR,AKT_PI3K_survival,80,361,0.8766547800151632,0.8905519597907177,-0.0138971797755544,0.4960872576177285,0.91314137124273,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,RRM1,nucleotide_antifolate,80,361,3.198744983127369,3.3393489546493846,-0.1406039715220157,0.439404432132964,0.089834863073598,0.5446238573836882
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,RRM2,nucleotide_antifolate,80,361,2.6109199761587547,2.6394366501461906,-0.0285166739874358,0.48601108033241,0.6956323729785909,0.9901673242127602
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,SOD1,oxidative_stress_NRF2;prior_oxidative_stress,80,361,1.8935751564488956,1.7969199243167011,0.0966552321321942,0.5244459833795014,0.4939534745210147,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,SOD2,oxidative_stress_NRF2;prior_oxidative_stress,80,361,0.8125571558777515,0.8445228270892586,-0.0319656712115071,0.5019736842105263,0.956312999185568,0.9941979910917492
