depmap_id,CCLEName,OncotreeLineage,OncotreePrimaryDisease,TP53_refined_status,any_TP53_LoF_high_impact,RTR_score_combined_rank_0_1,combined_RTR_quadrant,secondary_repair_preservation,secondary_repair_preservation_rank,secondary_removal_vulnerability,secondary_removal_vulnerability_rank,primary_repair_preservation,primary_repair_preservation_rank,primary_removal_vulnerability,primary_removal_vulnerability_rank,combined_repair_preservation_rank,combined_removal_vulnerability_rank,secondary_any_repair_median_auc,secondary_removal_median_auc,primary_any_repair_median_logfc,primary_removal_median_logfc,secondary_RTR_delta_any_repair_minus_removal,primary_RTR_delta_any_repair_minus_removal,RTR_score_formula_note,RTR_high_removal_high_quadrant_combined,RTR_high_top20pct,RTR_low_bottom20pct
ACH-000400,SKCO1_LARGE_INTESTINE,Bowel,Colorectal Adenocarcinoma,TP53 mutation-not-called,False,0.9480968858131488,repair-high / removal-high,,,,,0.1602185799845,0.9705882352941176,0.6162336663205,0.8339100346020761,0.9705882352941176,0.8339100346020761,,,0.1602185799845,-0.6162336663205,,0.7764522463050001,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-000913,ESS1_ENDOMETRIUM,Uterus,Uterine Sarcoma/Mesenchymal,TP53 LoF/high-impact,True,0.9468425605536333,repair-high / removal-high,1.15280475662799,0.9104166666666668,0.2479205947404495,0.8833333333333333,0.00394378708894,0.6176470588235294,0.686853722707,0.8979238754325259,0.764031862745098,0.8906286043829297,1.15280475662799,0.7520794052595504,0.00394378708894,-0.686853722707,0.4007253513684395,0.69079750979594,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-000430,TYKNU_OVARY,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,TP53 LoF/high-impact,True,0.9463667820069204,repair-low / removal-high,,,,,-0.0569919028536,0.3252595155709342,0.8242457217135,0.9550173010380624,0.3252595155709342,0.9550173010380624,,,-0.0569919028536,-0.8242457217135,,0.7672538188599,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,False,True,False
ACH-001022,CBAGPN_BONE,Bone,Ewing Sarcoma,TP53 mutation-not-called,False,0.944636678200692,repair-low / removal-high,,,,,-0.115534684066,0.129757785467128,0.881234102945,0.9705882352941176,0.129757785467128,0.9705882352941176,,,-0.115534684066,-0.881234102945,,0.7656994188790001,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,False,True,False
ACH-000866,NCIH1048_LUNG,Lung,Lung Neuroendocrine Tumor,TP53 LoF/high-impact,True,0.9405384948096888,repair-high / removal-high,1.070959260799095,0.7854166666666667,0.2829345782004218,0.975,-0.04729864571295,0.3667820069204152,0.83084536565,0.9584775086505192,0.576099336793541,0.9667387543252596,1.070959260799095,0.7170654217995782,-0.04729864571295,-0.83084536565,0.3538938389995167,0.78354671993705,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-000269,AM38_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,Adult-Type Diffuse Glioma,TP53 mutation-not-called,False,0.9394463667820068,repair-low / removal-high,,,,,-0.246934561705,0.0051903114186851,0.9966993542575,0.986159169550173,0.0051903114186851,0.986159169550173,,,-0.246934561705,-0.9966993542575,,0.7497647925525,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,False,True,False
ACH-000905,5637_URINARY_TRACT,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,TP53 LoF/high-impact,True,0.9360726643598616,repair-high / removal-high,1.12251158804041,0.86875,0.248153219268861,0.8854166666666666,0.1395507713825,0.9567474048442908,0.566722117029,0.7768166089965398,0.9127487024221452,0.8311166378316033,1.12251158804041,0.751846780731139,0.1395507713825,-0.566722117029,0.370664807309271,0.7062728884114999,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-000897,FTC238_THYROID,Thyroid,Well-Differentiated Thyroid Cancer,TP53 LoF/high-impact,True,0.9345912629757784,repair-high / removal-high,1.25227818950819,0.98125,0.232590155028691,0.8354166666666667,0.173089699917,0.9775086505190312,0.446721948765,0.5743944636678201,0.9793793252595157,0.7049055651672433,1.25227818950819,0.7674098449713089,0.173089699917,-0.446721948765,0.4848683445368811,0.619811648682,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-000391,MHHES1_BONE,Bone,Ewing Sarcoma,TP53 LoF/high-impact,True,0.9339172433679356,repair-low / removal-high,1.066060886422845,0.78125,0.266362326712138,0.9458333333333332,-0.09648645376905,0.1782006920415225,0.914225921748,0.9775086505190312,0.4797253460207612,0.9616709919261822,1.066060886422845,0.733637673287862,-0.09648645376905,-0.914225921748,0.3324232131349831,0.81773946797895,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,False,True,False
ACH-000834,UMUC1_URINARY_TRACT,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,TP53 LoF/high-impact,True,0.928993656286044,repair-high / removal-high,1.13442674873958,0.8895833333333333,0.256588146055394,0.9229166666666668,0.037923240246,0.7370242214532872,0.612408439778,0.8252595155709342,0.8133037773933103,0.8740880911188005,1.13442674873958,0.743411853944606,0.037923240246,-0.612408439778,0.3910148947949741,0.650331680024,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-000475,HUH1_LIVER,Liver,Hepatocellular Carcinoma,TP53 LoF/high-impact,True,0.9238754325259516,repair-high / removal-high,,,,,0.1805938251395,0.9826989619377162,0.527148733993,0.7231833910034602,0.9826989619377162,0.7231833910034602,,,0.1805938251395,-0.527148733993,,0.7077425591325,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-000418,SW1353_BONE,Bone,Chondrosarcoma,TP53 LoF/high-impact,True,0.9215614186851212,repair-high / removal-high,1.18293569099781,0.9375,0.209882486610886,0.66875,0.04417376453605,0.7664359861591695,0.577551732277,0.7975778546712803,0.8519679930795847,0.7331639273356401,1.18293569099781,0.790117513389114,0.04417376453605,-0.577551732277,0.392818177608696,0.62172549681305,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-000460_FAILED_STR,,,,TP53 mutation-not-called,False,0.9204152249134948,repair-high / removal-high,,,,,0.03734703970455,0.7335640138408305,0.66742854071,0.8858131487889274,0.7335640138408305,0.8858131487889274,,,0.03734703970455,-0.66742854071,,0.70477558041455,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-000364,U2OS_BONE,Bone,Osteosarcoma,TP53 mutation-not-called,False,0.9203791810841984,repair-high / removal-high,1.2048291123774,0.9604166666666668,0.214190211578156,0.70625,-0.0424169870441,0.3961937716262976,0.653631154753,0.8719723183391004,0.6783052191464821,0.7891111591695502,1.2048291123774,0.785809788421844,-0.0424169870441,-0.653631154753,0.4190193239555559,0.6112141677089,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
