comparison,gene,axis_membership,n_pos,n_neg,median_dep_pos,median_dep_neg,delta,mw_auc,p,FDR_within_comparison
RTR_high_removal_high_vs_other_all,PMAIP1,prior_p53_decision,93,375,-0.1035966618503829,-0.1218722086833002,0.018275546832917308,0.5330179211469535,0.3241938285689072,0.7273551106204974
RTR_high_removal_high_vs_other_all,PSMA1,HSP_proteostasis;prior_proteasome,93,376,2.272471218609282,2.3322489809973903,-0.05977776238810817,0.4727465110958591,0.4157019903376932,0.8102660823722573
RTR_high_removal_high_vs_other_all,PSMA2,HSP_proteostasis;prior_proteasome,93,376,2.336373477461051,2.3509941395274754,-0.014620662066424206,0.5064344543582704,0.8478732546216361,0.956322159282543
RTR_high_removal_high_vs_other_all,PSMB5,HSP_proteostasis;prior_proteasome,93,376,2.0525477980748303,2.016368603826332,0.03617919424849836,0.5241077556623198,0.4715824513105229,0.8316999595840131
RTR_high_removal_high_vs_other_all,PSMB7,HSP_proteostasis;prior_proteasome,93,376,1.2113373448350957,1.2562525839403405,-0.04491523910524475,0.4596774193548388,0.2284343363625162,0.6362038591956571
RTR_high_removal_high_vs_other_all,PSMC1,HSP_proteostasis;prior_proteasome,93,376,0.9683721453225412,1.0206457844024752,-0.05227363907993399,0.42890642873484325,0.03368423312268086,0.5714506339358175
RTR_high_removal_high_vs_other_all,PSMD1,HSP_proteostasis;prior_proteasome,93,376,1.2103398284918463,1.3012166703624453,-0.09087684187059897,0.4204987417067033,0.01754651626450164,0.4255030194141648
RTR_high_removal_high_vs_other_all,PTEN,AKT_PI3K_survival;prior_oncogenic_context,93,376,-0.3359751230854132,-0.36219265681678975,0.02621753373137653,0.5174731182795699,0.6019033753214273,0.9122598032215383
RTR_high_removal_high_vs_other_all,RAD51,DDR_CHK_ATR;prior_DDR_checkpoint,93,376,1.1989890523776223,1.2284073454999338,-0.02941829312231148,0.4718313886982384,0.4002112143044996,0.8087601622403429
RTR_high_removal_high_vs_other_all,RB1,prior_cell_cycle_checkpoint,93,376,-0.1899082856679942,-0.1912696602564797,0.0013613745884855089,0.520533058796614,0.539813126239741,0.8874893770382183
RTR_high_removal_high_vs_other_all,RICTOR,AKT_PI3K_survival,93,376,0.4462550292032898,0.41999134914073405,0.02626368006255575,0.5637725920841913,0.056769355608914156,0.5714506339358175
RTR_high_removal_high_vs_other_all,RPTOR,AKT_PI3K_survival,93,376,0.8727019453929494,0.9004852551562517,-0.027783309763302233,0.49136353237245484,0.7966937654750085,0.956322159282543
RTR_high_removal_high_vs_other_all,RRM1,nucleotide_antifolate,93,376,3.2192572493137206,3.3403233637722347,-0.12106611445851412,0.4455502173415694,0.10383926485322982,0.5714506339358175
RTR_high_removal_high_vs_other_all,RRM2,nucleotide_antifolate,93,376,2.618881685837244,2.642546052841188,-0.023664367003944253,0.49296499656829107,0.833841753844488,0.956322159282543
RTR_high_removal_high_vs_other_all,SOD1,oxidative_stress_NRF2;prior_oxidative_stress,93,376,1.8885337507618136,1.8044886982796784,0.08404505248213523,0.5180164722031573,0.5906456715789299,0.9122598032215383
RTR_high_removal_high_vs_other_all,SOD2,oxidative_stress_NRF2;prior_oxidative_stress,93,376,0.8231358807940785,0.84557334774216,-0.022437466948081464,0.49899908487760236,0.9764818826693269,0.9866535689471323
RTR_high_removal_high_vs_other_all,TK1,nucleotide_antifolate,93,376,0.0863560302194835,0.08284046115341695,0.003515569066066551,0.5313143445435827,0.3496657493181837,0.7373386453013875
RTR_high_removal_high_vs_other_all,TP53,prior_p53_decision,93,376,-0.1973507626913632,-0.21700313717254682,0.01965237448118362,0.5382349576755892,0.2534440115218155,0.664434300476111
RTR_high_removal_high_vs_other_all,TTK,microtubule_spindle;mitotic_kinase_PLK_AUR,93,376,0.7973372914808414,0.7985827767773943,-0.001245485296552884,0.48781743308167463,0.7161679895543642,0.9387607430645045
RTR_high_removal_high_vs_other_all,TUBA1A,microtubule_spindle,93,374,0.1331277059444957,0.14673828813094053,-0.013610582186444842,0.5014950261629579,0.9647307514499466,0.9850408725331034
RTR_high_removal_high_vs_other_all,TUBA1B,microtubule_spindle,93,376,1.079168374349483,0.9633083583903796,0.11586001595910345,0.598318462594372,0.0033107860386084012,0.16057312287250747
RTR_high_removal_high_vs_other_all,TUBB,microtubule_spindle,93,376,2.0603458731874005,1.9494619491929925,0.11088392399440794,0.5315431251429878,0.3461548909410619,0.7373386453013875
RTR_high_removal_high_vs_other_all,TUBB3,microtubule_spindle,93,376,0.0131040633525302,0.02591228627783685,-0.01280822292530665,0.4934797529169527,0.8458656906788204,0.956322159282543
RTR_high_removal_high_vs_other_all,TUBB4B,microtubule_spindle,93,376,0.3420794202455637,0.35788879937430973,-0.015809379128746026,0.4844715168153741,0.6429629526486991,0.930666248064727
RTR_high_removal_high_vs_other_all,TXNRD1,oxidative_stress_NRF2,93,376,0.4870673479223028,0.5160133588896787,-0.028946010967375924,0.5030027453671929,0.9288482117130044,0.9850408725331034
RTR_high_removal_high_vs_other_all,TYMS,nucleotide_antifolate,93,376,0.5655282122190122,0.4763484900677065,0.08917972215130565,0.5176161061541982,0.5989314502384516,0.9122598032215383
RTR_high_removal_high_vs_other_all,WEE1,mitotic_kinase_PLK_AUR;DDR_CHK_ATR;prior_cell_cycle_checkpoint,93,376,2.637950248366331,2.6551401543811295,-0.017189906014798417,0.49794097460535347,0.9512828038647347,0.9850408725331034
RTR_high_removal_high_vs_other_all,XIAP,apoptosis_MCL1_BCL,93,376,0.0232261234428534,0.0043866539839884,0.018839469458865,0.5648021047815146,0.05288680626357868,0.5714506339358175
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,AKT1,AKT_PI3K_survival,80,361,0.07808208391641475,0.0386615468016271,0.03942053711478764,0.5677285318559557,0.05795982447332434,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,AKT2,AKT_PI3K_survival,80,361,0.072060374814924,0.0573358203954084,0.014724554419515597,0.551073407202216,0.1528213331706613,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,AKT3,AKT_PI3K_survival,80,361,-0.08303162949058555,-0.0934502985944048,0.01041866910381925,0.5363919667590027,0.3084226699597189,0.8354169228829426
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,ATIC,nucleotide_antifolate,80,361,0.27421762890585194,0.3091285855590914,-0.034910956653239456,0.4780470914127424,0.539066632740862,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,ATM,DDR_CHK_ATR;prior_DDR_checkpoint,80,361,0.09028636426766375,-0.0022042826494901,0.09249064691715385,0.6342797783933518,0.00017023789648108991,0.016513075958665722
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,ATR,DDR_CHK_ATR;prior_DDR_checkpoint,80,361,1.1278467685071991,1.1178551660229916,0.009991602484207496,0.5142313019390581,0.6906227661797038,0.9901673242127602
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,AURKA,mitotic_kinase_PLK_AUR,80,361,1.1789523718808357,1.18659613457297,-0.007643762692134404,0.48639196675900276,0.7035314471195353,0.9901673242127602
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,AURKB,mitotic_kinase_PLK_AUR,80,361,2.1793477137336525,2.1013079972795308,0.07803971645412178,0.5490304709141274,0.16992906095255844,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,AURKC,mitotic_kinase_PLK_AUR,80,361,-0.01291114141090305,-0.0091331242790048,-0.003778017131898251,0.5115650969529086,0.7464280113141439,0.9901673242127602
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BAK1,apoptosis_MCL1_BCL;prior_apoptosis_core,80,361,0.30576224972122656,0.3607732075074363,-0.055010957786209735,0.43545706371191134,0.07079333303596559,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BAX,apoptosis_MCL1_BCL;prior_apoptosis_core,80,361,-0.0513192657091609,-0.0627257205513179,0.011406454842157007,0.49806094182825483,0.9570854676756838,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BBC3,prior_p53_decision,80,361,0.08862095497458866,0.0953296674886337,-0.006708712514045034,0.4778739612188366,0.5358683329798762,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BCL2,apoptosis_MCL1_BCL;prior_apoptosis_core,80,361,-0.016430784143160702,-0.0174489573917557,0.001018173248594996,0.5228531855955679,0.522540666268035,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BCL2L1,apoptosis_MCL1_BCL;prior_apoptosis_core,80,361,1.2119989294645819,1.011870070398753,0.20012885906582878,0.5059210526315789,0.8686981453804835,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BCL2L11,apoptosis_MCL1_BCL,80,361,-0.008298975861681549,0.0011800101595033,-0.009478986021184849,0.48822714681440443,0.7420269535767597,0.9901673242127602
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BIRC5,apoptosis_MCL1_BCL,80,361,1.9944366774499882,1.9150404316933605,0.07939624575662774,0.5608725761772853,0.08837622216918993,0.5446238573836882
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BRCA1,DDR_CHK_ATR;prior_DDR_checkpoint,80,361,0.525480144592448,0.5044002060245116,0.02107993856793633,0.5513157894736842,0.15088182488774196,0.5939252974049878
