drug_key,name,moa,target,eqcl_group,strict_repair,broad_repair,cytotoxic,n_cell_lines,median_logfc,mean_logfc,frac_logfc_ge0,frac_logfc_lt_minus1,frac_logfc_lt_minus05,primary_survival_preservation_score
BRD-K87827419-001-16-8,melphalan,"DNA alkylating agent, DNA inhibitor",,cytotoxic/removal-like,False,False,True,557,-0.471042660581,-0.6135453158158916,0.3016157989228007,0.2980251346499102,0.4829443447037702,-0.5437536121070322
BRD-K87909389-003-03-4,alvocidib,CDK inhibitor,"CDK1, CDK2, CDK4, CDK5, CDK6, CDK7, CDK8, CDK9, EGFR, PYGM",other,False,False,False,571,-3.73272177641,-3.689833189840394,0.005253940455341506,0.9754816112084063,0.9912434325744308,-4.461706014588634
BRD-K87932577-001-02-4,CDK1-5-inhibitor,"CDK inhibitor, glycogen synthase kinase inhibitor","CDK1, CDK5, GSK3B",other,False,False,False,565,-0.238112858299,-0.24129285247961946,0.25309734513274335,0.02654867256637168,0.2424778761061947,-0.1314756901574071
BRD-K87948281-001-01-9,F-11440,serotonin receptor agonist,HTR1A,other,False,False,False,548,-0.025666104037200002,-0.04025200718803675,0.4635036496350365,0.0036496350364963502,0.07664233576642336,0.20334849450294595
BRD-K87990216-001-10-2,piretanide,glucocorticoid receptor agonist,"SLC12A1, SLC12A2",broad repair/protective,False,True,False,569,0.319350064671,0.32719306026025674,0.8734622144112478,0.0017574692442882249,0.008787346221441126,0.7547630699434078
BRD-K88025533-003-03-3,fingolimod,"immunosuppressant, sphingosine phosphate receptor agonist","S1PR1, S1PR5",other,False,False,False,569,0.310304771055,0.3034535592391583,0.81195079086116,0.0,0.022847100175746926,0.71628016648558
BRD-K88052444-001-08-8,urea,hydroxy radical formation stimulant,"ARG1, CA2, CTNNB1",other,False,False,False,569,0.250205294724,0.25546477822996616,0.804920913884007,0.0,0.007029876977152899,0.6526657516660035
BRD-K88061624-001-21-4,mizoribine,"immunosuppressant, inosine monophosphate dehydrogenase inhibitor",IMPDH1,other,False,False,False,536,-0.334444468594,-0.32762335648237323,0.22201492537313433,0.07462686567164178,0.332089552238806,-0.2794071551611642
BRD-K88090157-050-10-8,pimethixene,antihistamine,,other,False,False,False,570,0.170343944538,0.1547225690773545,0.6526315789473685,0.007017543859649123,0.05263157894736842,0.49139657611694737
BRD-K88143662-001-01-5,metharbital,GABA receptor modulator,"CHRNA4, CHRNA7, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIA2, GRIK2",other,False,False,False,548,-0.1722687500315,-0.17700698805279036,0.26094890510948904,0.0072992700729927005,0.11678832116788321,-0.0472687500315
BRD-K88172511-003-20-3,naltrexone,opioid receptor antagonist,"OPRD1, OPRK1, OPRM1, SIGMAR1",other,False,False,False,538,-0.614282520975,-0.6146626923821928,0.10408921933085502,0.20074349442379183,0.5985130111524164,-0.7127955321274164
BRD-K88172511-003-21-1,naltrexone,opioid receptor antagonist,"OPRD1, OPRK1, OPRM1, SIGMAR1",other,False,False,False,569,0.206152556336,0.21087428815979836,0.7504393673110721,0.0,0.01757469244288225,0.581372239991536
BRD-K88186167-001-04-8,GW-4064,FXR agonist,NR1H4,other,False,False,False,574,-0.05124842467875,-0.07198764103927997,0.4372822299651568,0.006968641114982578,0.10801393728222997,0.16216620946759147
BRD-K88219015-001-10-8,asaraldehyde,cyclooxygenase inhibitor,PTGS2,broad repair/protective,False,True,False,557,0.0937125212201,0.07529269072491973,0.5978456014362658,0.003590664272890485,0.0466786355475763,0.389942323733565
BRD-K88308881-001-06-8,ethenzamide,analgesic agent,,other,False,False,False,569,0.305755527413,0.30484377040662736,0.8154657293497364,0.0017574692442882249,0.015817223198594025,0.712170290154652
BRD-K88358234-003-04-8,xaliproden,serotonin receptor agonist,HTR1A,other,False,False,False,571,-0.588394215802,-0.5694498160165472,0.11208406304728546,0.16112084063047286,0.5726795096322241,-0.6531928147512119
BRD-K88366685-300-06-0,trimetazidine,3-ketoacyl CoA thiolase inhibitor,ACAA2,other,False,False,False,571,0.0552364724468,0.06293421261491404,0.5569176882661997,0.03152364273204904,0.11033274956217162,0.3100525845308631
BRD-K88405679-003-03-1,thonzylamine,antihistamine,,other,False,False,False,569,0.241752088443,0.24810878985674806,0.7943760984182777,0.0017574692442882249,0.012302284710017574,0.6376220357189227
BRD-K88429204-001-35-1,pyrimethamine,dihydrofolate reductase inhibitor,"DHFR, SLC47A1",other,False,False,False,571,0.113685110967,0.014967060720526093,0.5359019264448336,0.1330998248686515,0.25569176882662,0.28181120553792816
BRD-K88506063-001-01-8,KD025,rho associated kinase inhibitor,ROCK2,other,False,False,False,571,0.134266970663,0.12374067725601062,0.6007005253940455,0.017513134851138354,0.09457092819614711,0.421482382221669
BRD-K88510285-001-11-1,bortezomib,"NFkB pathway inhibitor, proteasome inhibitor","PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMA8, PSMB1, PSMB10, PSMB11, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9, PSMD1, PSMD2, RELA",cytotoxic/removal-like,False,False,True,571,-4.17176842483,-4.175077831468085,0.0,0.9964973730297724,0.9982486865148862,-4.919141454602329
BRD-K88544581-001-06-1,CI-976,ACAT inhibitor,"ACAT1, CES1",other,False,False,False,574,-0.07740866494115001,-0.05516740753826814,0.4076655052264808,0.01916376306620209,0.14634146341463414,0.11205126537243884
BRD-K88553858-001-02-7,benurestat,urease inhibitor,,other,False,False,False,569,0.199579518982,0.22620551532333785,0.7785588752196837,0.0017574692442882249,0.012302284710017574,0.5875408546586257
BRD-K88560311-011-06-3,rucaparib,PARP inhibitor,"PARP1, PARP2",cytotoxic/removal-like,False,False,True,565,0.0662785907328,0.021338061898914636,0.5610619469026549,0.035398230088495575,0.13097345132743363,0.3202608916177558
BRD-K88568253-011-19-9,iproniazid,monoamine oxidase inhibitor,"MAOA, MAOB",other,False,False,False,557,-0.613109243769,-0.620425696995208,0.1741472172351885,0.2872531418312388,0.5673249551166966,-0.7414754915248348
BRD-K88611939-001-22-4,aniracetam,glutamate receptor agonist,"DRD2, GRIA1, GRIA2, GRIA3, GRIA4, HTR2A",other,False,False,False,571,0.187333285053,0.18530135129296155,0.7057793345008757,0.0017513134851138354,0.040280210157618214,0.5389094671896025
BRD-K88625236-001-04-2,nonoxynol-9,membrane integrity inhibitor,,other,False,False,False,570,-0.5901887913905,-0.6312762064304699,0.1649122807017544,0.2736842105263158,0.5526315789473685,-0.7129958089343595
BRD-K88646909-004-16-2,arecoline,acetylcholine receptor agonist,"CHRM1, CHRM2, CHRM3, CHRM4",other,False,False,False,569,-0.152463570335,-0.14892685631239386,0.3233743409490334,0.012302284710017574,0.13708260105448156,-3.1133929964781426e-06
BRD-K88677950-001-03-9,PD-198306,"MAP kinase inhibitor, MEK inhibitor","MAP2K1, MAP2K2",other,False,False,False,570,-0.0837452593333,-0.18200592554908834,0.43859649122807015,0.1280701754385965,0.2578947368421053,0.03950035470178771
BRD-K88682005-001-15-8,chlorothiazide,diuretic,"CA1, CA2, CA4, SLC12A3",other,False,False,False,563,0.10286773008,0.081414536835565,0.6305506216696269,0.003552397868561279,0.06039076376554174,0.4154787425133925
BRD-K88701661-001-02-9,dimercaptosuccinic-acid,chelating agent,DNMT1,other,False,False,False,532,-0.111422306917,-0.13633104020449946,0.3684210526315789,0.02443609022556391,0.15601503759398497,0.05446115172961653
BRD-K88742110-001-07-9,PCI-34051,HDAC inhibitor,"HDAC1, HDAC10, HDAC6, HDAC8",other,False,False,False,565,0.220340601656,0.18718025171125235,0.7132743362831858,0.008849557522123894,0.06017699115044248,0.570340601656
BRD-K88759641-003-02-8,EMD-66684,angiotensin receptor antagonist,AGTR1,other,False,False,False,565,-0.232934372468,-0.22611327191460315,0.2938053097345133,0.023008849557522124,0.26017699115044246,-0.10328835476888494
BRD-K88789588-001-14-9,letrozole,aromatase inhibitor,CYP19A1,other,False,False,False,569,0.125793434783,0.12971078757433568,0.6731107205623902,0.0017574692442882249,0.028119507908611598,0.46103069313097894
BRD-K88807631-001-01-3,elacridar,P glycoprotein inhibitor,ABCB1,other,False,False,False,569,0.180597471862,0.17934742922135893,0.7398945518453427,0.0035149384885764497,0.0351493848857645,0.547908543918239
BRD-K88854110-001-01-5,taprenepag,prostaglandin receptor agonist,PTGER2,other,False,False,False,547,-0.056232114247,-0.07123758824994773,0.41316270566727603,0.005484460694698354,0.09872029250457039,0.14623589306561424
BRD-K88956297-003-01-9,"1-((Z)-3-Chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium",,,other,False,False,False,557,0.0231745612807,-0.01991543907579442,0.518850987432675,0.010771992818671455,0.0933572710951526,0.2745210603830339
BRD-K89014967-001-04-3,AS-703026,MEK inhibitor,"MAP2K1, MAP2K2",other,False,False,False,569,-0.732561268819,-0.9312255211372086,0.24253075571177504,0.421792618629174,0.5817223198594025,-0.927640354934993
BRD-K89015388-001-01-7,GSK923295,centromere associated protein inhibitor,CENPE,other,False,False,False,569,-0.455538704312,-0.5920537335885285,0.3391915641476274,0.3427065026362039,0.48857644991212656,-0.5429727992153393
BRD-K89048337-001-06-9,puerarin,serotonin receptor antagonist,,other,False,False,False,565,0.330307133072,0.33073891333597644,0.8424778761061947,0.0017699115044247787,0.017699115044247787,0.7502186374967789
BRD-K89053832-001-01-0,VLX600,ubiquitin C-terminal hydrolase inhibitor,USP14,other,False,False,False,572,-2.639889997625,-2.6393073578978545,0.012237762237762238,0.8863636363636364,0.9562937062937062,-3.2985438437788464
BRD-K89055274-048-22-7,alverine,muscle relaxant,HTR1A,other,False,False,False,557,0.0376403457989,0.035230525355066,0.5583482944344704,0.008976660682226212,0.06822262118491922,0.3100819975044656
BRD-K89056082-001-07-7,chlorocresol,ryanodine receptor activator,,other,False,False,False,569,0.146131108481,0.12809170954199064,0.6783831282952548,0.007029876977152899,0.043936731107205626,0.4800502648957627
BRD-K89071957-001-01-1,CTS21166,beta-secretase inhibitor,BACE1,other,False,False,False,557,-0.049053311166,-0.055489009640013506,0.4380610412926391,0.00718132854578097,0.07540394973070018,0.16459121307098382
