broad_id,name,moa,target,axis_membership,n_datasets,n_positive_delta,n_FDR_lt_0_05,median_delta,median_mw_auc,min_FDR
BRD-A03506276-001-01-5,XL888,HSP inhibitor,,HSP90_proteostasis,4,4,3,0.3866094487900005,0.6164819944598338,0.00038467789020734907
BRD-K12539581-001-23-7,nocodazole,tubulin polymerization inhibitor,HPGDS,microtubule_tubulin,4,4,3,0.5513665828225001,0.6160710831427488,0.0012481076709646
BRD-K38332599-001-01-3,uprosertib,AKT inhibitor,"AKT1, AKT2, AKT3",AKT_PI3K_mTOR_survival,4,4,3,0.41089945408825035,0.6104692142176051,0.0034857521650184
BRD-K51318897-001-15-3,fenbendazole,tubulin polymerization inhibitor,TUBB,microtubule_tubulin,4,4,3,0.43087228219499996,0.6094979128491903,0.0048761571039974
BRD-K21728777-001-02-3,AMG900,Aurora kinase inhibitor,"AURKA, AURKB, AURKC",PLK_Aurora_mitotic_kinase,4,4,3,0.4132014332224999,0.608561680911681,0.0044924952456377
BRD-K92428232-001-10-6,GSK461364,PLK inhibitor,PLK1,PLK_Aurora_mitotic_kinase,4,4,3,0.41085569102999986,0.6078712746903804,0.0005969590890156
BRD-K03601870-001-01-2,ixabepilone,microtubule stabilizing agent,"TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8",microtubule_tubulin,4,4,3,0.3665057783375001,0.6057902042435058,0.0011076420346506554
BRD-K00259736-001-16-4,colchicine,microtubule inhibitor,"GLRA1, GLRA2, TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8",microtubule_tubulin,4,4,3,0.3235656977799999,0.6055388807612454,0.0072836922098502
BRD-K75009076-001-02-1,SCH-900776,CHK inhibitor,"CDK2, CHEK1",DDR_ATR_CHK_WEE_PARP,4,3,3,0.21597440746973512,0.6053752722272637,0.0044924952456377
BRD-K38852836-001-02-1,ganetespib,HSP inhibitor,HSP90AA1,HSP90_proteostasis,4,4,3,0.28145083273875016,0.6043137963596718,0.0028852865931840175
BRD-K82823804-001-04-1,PD-407824,PKC inhibitor,WEE1,DDR_ATR_CHK_WEE_PARP,4,4,3,0.3460763222455999,0.6011208274878036,0.0009982090794061
BRD-K59369769-001-22-9,tozasertib,"Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor","AURKA, AURKB, AURKC, LCK",PLK_Aurora_mitotic_kinase,3,3,3,0.274859893834,0.6002041306436119,0.0125790059184808
BRD-K47869605-001-32-0,podophyllotoxin,"microtubule inhibitor, tubulin polymerization inhibitor","IGF1R, TOP2A, TUBA4A, TUBB",microtubule_tubulin,4,4,3,0.40324054917249996,0.5993558733775701,0.011435333737930752
BRD-K58435339-001-03-0,AT13387,HSP antagonist,HSP90AA1,HSP90_proteostasis,4,4,3,0.1801328318565001,0.5963266788856694,0.0006290251066647406
BRD-K78567475-001-01-4,dolastatin-10,tubulin polymerization inhibitor,TUBB,microtubule_tubulin,4,4,3,0.3610403529299997,0.5947076233128267,0.00014150640800153792
BRD-K71823332-001-03-7,epothilone-a,microtubule stabilizing agent,,microtubule_tubulin,4,4,3,0.27733194388999993,0.5941516049739735,6.972965389728538e-05
BRD-K38548312-001-01-0,VER-49009,HSP inhibitor,HSP90AA1,HSP90_proteostasis,4,4,3,0.30488664175500013,0.5938085387409606,0.010917367187750795
BRD-K68488863-001-04-9,ENMD-2076,"Aurora kinase inhibitor, FLT3 inhibitor, VEGFR inhibitor","AURKA, FLT3, KDR, PDGFRA, PTK2, SRC",PLK_Aurora_mitotic_kinase,4,4,3,0.28077135875000014,0.5933330510286882,0.006995986684834118
BRD-K01683783-001-02-6,TAK-901,Aurora kinase inhibitor,AURKB,PLK_Aurora_mitotic_kinase,4,4,3,0.4574377053399996,0.5921223363774732,0.0012552070662975
BRD-K49669041-001-08-4,BX-912,pyruvate dehydrogenase kinase inhibitor,"CDK2, CHEK1, GSK3B, KDR, PDK1, PDPK1",AKT_PI3K_mTOR_survival;DDR_ATR_CHK_WEE_PARP,4,4,3,0.21598020913999988,0.5905996701349463,0.009713873884272155
BRD-K57136142-001-02-4,CCT129202,Aurora kinase inhibitor,"AURKA, AURKB, AURKC",PLK_Aurora_mitotic_kinase,4,1,3,-0.018169686955657453,0.45850959098698874,0.0177377655855204
BRD-K47000838-001-01-6,cytochalasin-b,microtubule inhibitor,ACTB,microtubule_tubulin,2,2,2,0.12669811950220758,0.6308779369975657,0.00014150640800153792
BRD-K80431395-001-07-3,triciribine,AKT inhibitor,"AKT1, AKT2, AKT3",AKT_PI3K_mTOR_survival,2,2,2,0.2866971013497208,0.6241393727366931,0.002118188581478686
BRD-K91623615-001-05-0,ABT-751,tubulin polymerization inhibitor,TUBB,microtubule_tubulin,2,2,2,0.27465559919210575,0.6141481000763432,0.0013612528077039986
BRD-K83963101-001-06-9,MLN-8054,Aurora kinase inhibitor,AURKA,PLK_Aurora_mitotic_kinase,4,4,2,0.4061800926447499,0.6092683816821748,0.0022209116544171
BRD-K03063480-001-06-6,PF-477736,CHK inhibitor,"CHEK1, CHEK2",DDR_ATR_CHK_WEE_PARP,2,2,2,0.2812537417173986,0.6071642965928012,0.002022882529121988
BRD-K68938568-001-01-7,GDC-0152,XIAP inhibitor,"BIRC2, BIRC3, BIRC7, XIAP",apoptosis_IAP_BCL_MCL,4,4,2,0.11348200018035251,0.6036572839688295,0.0013572581210483453
BRD-K52762805-001-01-2,epothilone-d,"microtubule stabilizing agent, tubulin polymerization inhibitor","TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA4A, TUBA8, TUBB, TUBB1, TUBB3, TUBB4A, TUBB4B",microtubule_tubulin,4,3,2,0.434166570985,0.6020947809332564,0.0027947764045876
BRD-K07881437-001-04-6,danusertib,"Aurora kinase inhibitor, growth factor receptor inhibitor","AURKA, AURKB, AURKC, FGFR1, NTRK1, RET, SLK",PLK_Aurora_mitotic_kinase,2,2,2,0.30564254560750637,0.5961244614966152,0.018087787701154476
BRD-K02113016-001-19-6,olaparib,PARP inhibitor,"PARP1, PARP2",DDR_ATR_CHK_WEE_PARP,3,3,2,0.1577332595224999,0.5960630467990558,0.0001832834376933
BRD-K58122457-001-02-2,hesperadin,Aurora kinase inhibitor,AURKB,PLK_Aurora_mitotic_kinase,4,4,2,0.3771701004550001,0.5930896110064412,0.0061569615807948
BRD-K42191735-001-05-3,buparlisib,PI3K inhibitor,"PIK3CA, PIK3CG",AKT_PI3K_mTOR_survival,4,4,2,0.41984437359000004,0.5916488399184341,0.0103189518169581
BRD-K58770988-001-01-8,NMS-E973,HSP inhibitor,,HSP90_proteostasis,4,4,2,0.4629843916124996,0.5913745102619753,0.0052664818708168
BRD-K25279140-001-01-5,MK-8745,Aurora kinase inhibitor,AURKA,PLK_Aurora_mitotic_kinase,4,4,2,0.34408707039575,0.5901030911526478,0.008044337792222233
