depmap_id,RTR_score_combined_rank_0_1,combined_RTR_quadrant,RTR_group
ACH-000086,0.0865232122260668,repair-low / removal-low,RTR_low_bottom20pct
ACH-000383,0.0832936851211072,repair-low / removal-low,RTR_low_bottom20pct
ACH-000765,0.0806805074971164,repair-low / removal-low,RTR_low_bottom20pct
ACH-000643,0.0775735294117647,repair-low / removal-low,RTR_low_bottom20pct
ACH-000678,0.0708153114186851,repair-low / removal-low,RTR_low_bottom20pct
ACH-000441,0.0641219723183391,repair-low / removal-low,RTR_low_bottom20pct
ACH-000926,0.0585604094579008,repair-low / removal-low,RTR_low_bottom20pct
ACH-000277,0.0581531141868512,repair-low / removal-low,RTR_low_bottom20pct
ACH-000250,0.056441032295271,repair-low / removal-low,RTR_low_bottom20pct
ACH-000555,0.0536332179930795,repair-low / removal-low,RTR_low_bottom20pct
ACH-000161,0.0514453575547866,repair-low / removal-low,RTR_low_bottom20pct
ACH-000483,0.0501730103806228,repair-high / removal-low,RTR_low_bottom20pct
ACH-000344,0.0461324971164936,repair-low / removal-low,RTR_low_bottom20pct
ACH-000740,0.0449826989619377,repair-low / removal-low,RTR_low_bottom20pct
ACH-000480,0.0422649942329873,repair-high / removal-low,RTR_low_bottom20pct
ACH-000222,0.039475201845444,repair-low / removal-low,RTR_low_bottom20pct
ACH-000549,0.0393706747404844,repair-low / removal-low,RTR_low_bottom20pct
ACH-000826,0.0389633794694348,repair-low / removal-low,RTR_low_bottom20pct
ACH-000888,0.0363862456747404,repair-low / removal-low,RTR_low_bottom20pct
ACH-000936,0.034515570934256,repair-low / removal-low,RTR_low_bottom20pct
ACH-000289,0.0326268742791234,repair-low / removal-low,RTR_low_bottom20pct
ACH-000093,0.0242214532871972,repair-high / removal-low,RTR_low_bottom20pct
ACH-000823,0.0221921856978085,repair-low / removal-low,RTR_low_bottom20pct
ACH-000537,0.0186959342560553,repair-low / removal-low,RTR_low_bottom20pct
ACH-001321,0.0168252595155709,repair-low / removal-low,RTR_low_bottom20pct
ACH-000399,0.0121107266435986,repair-high / removal-low,RTR_low_bottom20pct
ACH-000270,0.0067618223760092,repair-high / removal-low,RTR_low_bottom20pct
ACH-000466,0.0034602076124567,repair-low / removal-low,RTR_low_bottom20pct
ACH-000429,0.0019067185697808,repair-low / removal-low,RTR_low_bottom20pct
