action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,_compound,_role,_axis_or_class,_filter_text,_normal_hits,_viability_hits,_cancer_hits,standard_value_uM,toxicity_bucket,curation_decision,curation_tier,curation_reason,normal_keyword_hits,viability_keyword_hits_curated,exclude_keyword_hits,activity_signal_curated
,,545528,[],CHEMBL801864,Ability to protect cerebellar granule cells (CGC) from iodoacetate (IAA)-induced toxicity,F,,,BAO_0000188,BAO_0000218,organism-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1133778,J Med Chem,2000.0,,,CHEMBL153,TROLOX,CHEMBL153,4.11,0,http://www.openphacts.org/units/Nanomolar,173734,=,1,1,=,,EC50,nM,,77800.0,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116,,,EC50,uM,UO_0000065,,77.8,trolox,repair_candidate,strict repair/protective; antioxidant probe,ability to protect cerebellar granule cells (cgc) from iodoacetate (iaa)-induced toxicity | f | ec50 | = | rattus norvegicus | rattus norvegicus | organism-based format | chembl1133778,,toxicity,,77.8,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_not_viability_or_cytotoxicity;exclude_no_clear_normal_like_cell_keyword,,,,toxicity_signal
,,1712674,[],CHEMBL866920,Viability of rotifers against hydrogen peroxide toxicity at 10 uM,A,,,BAO_0001103,BAO_0000218,organism-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1147666,J Med Chem,2006.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,http://qudt.org/vocab/unit#Percent,470604,=,1,0,=,,Activity,%,,13.0,CHEMBL613877,Rotifera,Rotifers,10190,,,Activity,%,UO_0000187,,13.0,trolox,repair_candidate,strict repair/protective; antioxidant probe,viability of rotifers against hydrogen peroxide toxicity at 10 um | a | activity | = | rotifers | rotifera | organism-based format | chembl1147666,,viability|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_no_clear_normal_like_cell_keyword,,\bviability\b,,no_quantitative_value
,,1712682,[],CHEMBL866921,Viability of rotifers against doxorubicin toxicity at 10 uM,A,,,BAO_0001103,BAO_0000218,organism-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1147666,J Med Chem,2006.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,http://qudt.org/vocab/unit#Percent,470604,=,1,0,=,,Activity,%,,13.1,CHEMBL613877,Rotifera,Rotifers,10190,,,Activity,%,UO_0000187,,13.1,trolox,repair_candidate,strict repair/protective; antioxidant probe,viability of rotifers against doxorubicin toxicity at 10 um | a | activity | = | rotifers | rotifera | organism-based format | chembl1147666,,viability|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_no_clear_normal_like_cell_keyword,,\bviability\b,,no_quantitative_value
,Not Determined,1813944,[],CHEMBL855713,Cytotoxicity against microglial cells at 25 uM,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1146177,Bioorg Med Chem Lett,2006.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,624351,,1,0,,,Activity,,,,CHEMBL612558,,ADMET,,,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against microglial cells at 25 um | a | activity |  | admet |  | cell-based format | chembl1146177,,cytotoxic|cytotoxicity|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_no_clear_normal_like_cell_keyword,,cytotox,,no_quantitative_value
,Not Determined,1813945,[],CHEMBL855712,Cytotoxicity against microglial cells at 10 uM,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1146177,Bioorg Med Chem Lett,2006.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,624351,,1,0,,,Activity,,,,CHEMBL612558,,ADMET,,,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against microglial cells at 10 um | a | activity |  | admet |  | cell-based format | chembl1146177,,cytotoxic|cytotoxicity|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_no_clear_normal_like_cell_keyword,,cytotox,,no_quantitative_value
,Not Determined,1813946,[],CHEMBL855711,Cytotoxicity against microglial cells at 5 uM,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1146177,Bioorg Med Chem Lett,2006.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,624351,,1,0,,,Activity,,,,CHEMBL612558,,ADMET,,,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against microglial cells at 5 um | a | activity |  | admet |  | cell-based format | chembl1146177,,cytotoxic|cytotoxicity|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_no_clear_normal_like_cell_keyword,,cytotox,,no_quantitative_value
,,2554136,[],CHEMBL977838,Cytotoxicity against human HL60 cells by XTT assay,F,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1157286,J Nat Prod,2006.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,759627,,1,0,,Not active,Activity,,,,CHEMBL383,Homo sapiens,HL-60,9606,Not Active,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against human hl60 cells by xtt assay | f | activity |  | hl-60 | homo sapiens | cell-based format | chembl1157286,,cytotoxic|cytotoxicity|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_no_clear_normal_like_cell_keyword,,cytotox,,no_quantitative_value
,,2554217,[],CHEMBL977843,Cytotoxicity against human BT549 cells upto 48 uM,F,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1157286,J Nat Prod,2006.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,759627,,1,0,,Not active,Activity,,,,CHEMBL614072,Homo sapiens,BT-549,9606,Not Active,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against human bt549 cells upto 48 um | f | activity |  | bt-549 | homo sapiens | cell-based format | chembl1157286,,cytotoxic|cytotoxicity|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_no_clear_normal_like_cell_keyword,,cytotox,,no_quantitative_value
,,3116441,[],CHEMBL1069368,Cytotoxicity against human MG63 cells assessed as cell death at 60 uM after 7 days by LDH assay,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1157597,Bioorg Med Chem,2010.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,879859,,1,0,,Not toxic,Activity,,,,CHEMBL612558,,ADMET,,Non-toxic,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against human mg63 cells assessed as cell death at 60 um after 7 days by ldh assay | a | activity |  | admet |  | cell-based format | chembl1157597,,cytotoxic|cytotoxicity|ldh|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_no_clear_normal_like_cell_keyword,,cytotox|\bldh\b|cell death,,no_quantitative_value
,,3116442,[],CHEMBL1069369,Cytotoxicity against HEK293 cells assessed as cell death at 60 uM after 7 days by LDH assay,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1157597,Bioorg Med Chem,2010.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,879859,,1,0,,Not toxic,Activity,,,,CHEMBL614818,Homo sapiens,HEK293,9606,Non-toxic,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against hek293 cells assessed as cell death at 60 um after 7 days by ldh assay | a | activity |  | hek293 | homo sapiens | cell-based format | chembl1157597,hek293,cytotoxic|cytotoxicity|ldh|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,accepted,A_high_confidence_human_normal_like,accepted_normal_like_viability_assay,\bhek[- ]?293\b,cytotox|\bldh\b|cell death,,no_quantitative_value
,,3116443,[],CHEMBL1072367,Cytotoxicity against human SH-SY5Y cells assessed as cell death at 60 uM after 7 days by LDH assay,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1157597,Bioorg Med Chem,2010.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,879859,,1,0,,Not toxic,Activity,,,,CHEMBL614910,Homo sapiens,SH-SY5Y,9606,Non-toxic,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against human sh-sy5y cells assessed as cell death at 60 um after 7 days by ldh assay | a | activity |  | sh-sy5y | homo sapiens | cell-based format | chembl1157597,,cytotoxic|cytotoxicity|ldh|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_no_clear_normal_like_cell_keyword,,cytotox|\bldh\b|cell death,,no_quantitative_value
,,3116444,[],CHEMBL1072368,Cytotoxicity against human MRC5 cells assessed as cell death at 60 uM after 7 days by LDH assay,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1157597,Bioorg Med Chem,2010.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,879859,,1,0,,Not toxic,Activity,,,,CHEMBL614181,Homo sapiens,MRC5,9606,Non-toxic,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against human mrc5 cells assessed as cell death at 60 um after 7 days by ldh assay | a | activity |  | mrc5 | homo sapiens | cell-based format | chembl1157597,,cytotoxic|cytotoxicity|ldh|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,accepted,A_high_confidence_human_normal_like,accepted_normal_like_viability_assay,\bmrc[- ]?5\b,cytotox|\bldh\b|cell death,,no_quantitative_value
,,3116445,[],CHEMBL1072369,Cytotoxicity against human Caco-2 cells assessed as cell death at 60 uM after 7 days by LDH assay,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1157597,Bioorg Med Chem,2010.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,879859,,1,0,,Not toxic,Activity,,,,CHEMBL614058,Homo sapiens,Caco-2,9606,Non-toxic,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against human caco-2 cells assessed as cell death at 60 um after 7 days by ldh assay | a | activity |  | caco-2 | homo sapiens | cell-based format | chembl1157597,,cytotoxic|cytotoxicity|ldh|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_no_clear_normal_like_cell_keyword,,cytotox|\bldh\b|cell death,,no_quantitative_value
,,3116446,[],CHEMBL1074340,Cytotoxicity against human MG63 cells assessed as plasma membrane damage at 60 uM after 7 days by LDH assay,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1157597,Bioorg Med Chem,2010.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,879859,,1,0,,Not toxic,Activity,,,,CHEMBL612558,,ADMET,,Non-toxic,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against human mg63 cells assessed as plasma membrane damage at 60 um after 7 days by ldh assay | a | activity |  | admet |  | cell-based format | chembl1157597,,cytotoxic|cytotoxicity|ldh|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_no_clear_normal_like_cell_keyword,,cytotox|\bldh\b,,no_quantitative_value
,,3116447,[],CHEMBL1074341,Cytotoxicity against HEK293 cells assessed as plasma membrane damage at 60 uM after 7 days by LDH assay,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1157597,Bioorg Med Chem,2010.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,879859,,1,0,,Not toxic,Activity,,,,CHEMBL614818,Homo sapiens,HEK293,9606,Non-toxic,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against hek293 cells assessed as plasma membrane damage at 60 um after 7 days by ldh assay | a | activity |  | hek293 | homo sapiens | cell-based format | chembl1157597,hek293,cytotoxic|cytotoxicity|ldh|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,accepted,A_high_confidence_human_normal_like,accepted_normal_like_viability_assay,\bhek[- ]?293\b,cytotox|\bldh\b,,no_quantitative_value
,,3116448,[],CHEMBL1074342,Cytotoxicity against human SH-SY5Y cells assessed as plasma membrane damage at 60 uM after 7 days by LDH assay,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1157597,Bioorg Med Chem,2010.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,879859,,1,0,,Not toxic,Activity,,,,CHEMBL614910,Homo sapiens,SH-SY5Y,9606,Non-toxic,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against human sh-sy5y cells assessed as plasma membrane damage at 60 um after 7 days by ldh assay | a | activity |  | sh-sy5y | homo sapiens | cell-based format | chembl1157597,,cytotoxic|cytotoxicity|ldh|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_no_clear_normal_like_cell_keyword,,cytotox|\bldh\b,,no_quantitative_value
,,3116449,[],CHEMBL1074343,Cytotoxicity against human MRC5 cells assessed as plasma membrane damage at 60 uM after 7 days by LDH assay,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1157597,Bioorg Med Chem,2010.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,879859,,1,0,,Not toxic,Activity,,,,CHEMBL614181,Homo sapiens,MRC5,9606,Non-toxic,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against human mrc5 cells assessed as plasma membrane damage at 60 um after 7 days by ldh assay | a | activity |  | mrc5 | homo sapiens | cell-based format | chembl1157597,,cytotoxic|cytotoxicity|ldh|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,accepted,A_high_confidence_human_normal_like,accepted_normal_like_viability_assay,\bmrc[- ]?5\b,cytotox|\bldh\b,,no_quantitative_value
,,3116450,[],CHEMBL1074344,Cytotoxicity against human Caco-2 cells assessed as plasma membrane damage at 60 uM after 7 days by LDH assay,A,,,BAO_0000375,BAO_0000219,cell-based format,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,,,CHEMBL1157597,Bioorg Med Chem,2010.0,,,CHEMBL153,TROLOX,CHEMBL153,,0,,879859,,1,0,,Not toxic,Activity,,,,CHEMBL614058,Homo sapiens,Caco-2,9606,Non-toxic,,Activity,,,,,trolox,repair_candidate,strict repair/protective; antioxidant probe,cytotoxicity against human caco-2 cells assessed as plasma membrane damage at 60 um after 7 days by ldh assay | a | activity |  | caco-2 | homo sapiens | cell-based format | chembl1157597,,cytotoxic|cytotoxicity|ldh|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_no_clear_normal_like_cell_keyword,,cytotox|\bldh\b,,no_quantitative_value
